35485240,43.7757715,-79.4911556
35971851,43.7754472,-79.5102229
35971857,43.7792688,-79.5044299
49615935,43.7669741,-79.493322
49616078,43.7657356,-79.4915075
49616191,43.7652478,-79.4936675
60360164,43.7647966,-79.5012087
60360166,43.7649008,-79.5012284
60360172,43.7655034,-79.5014044
60360180,43.7664274,-79.5010458
60360186,43.7670627,-79.501193
60360208,43.7648771,-79.5013667
60360239,43.7734192,-79.5111636
60360273,43.7750535,-79.510224
60360315,43.7754385,-79.5002772
60360316,43.7709144,-79.4983254
60360330,43.7744048,-79.4980108
60360337,43.7743538,-79.4997952
60360351,43.7735332,-79.4994408
60360358,43.7742859,-79.4977546
60363058,43.7721958,-79.5126932
60407136,43.7663787,-79.4942941
60407180,43.7725623,-79.5108112
60407188,43.7724269,-79.5077238
60407192,43.7728989,-79.5058278
60407226,43.7719137,-79.5042754
60407247,43.7728207,-79.4974913
60407253,43.772495,-79.4989934
60407255,43.7705551,-79.4999701
60407256,43.7718634,-79.5027426
60407260,43.7717572,-79.5033584
60407269,43.7753281,-79.5041447
60407289,43.7723231,-79.5041807
60407292,43.7743793,-79.5050592
95661458,43.7816232,-79.494421
95661460,43.7777913,-79.5110224
146203637,43.7735889,-79.5022761
146203665,43.7731227,-79.5020927
152555419,43.7767369,-79.4988579
152555940,43.7771056,-79.4972513
152633182,43.7766556,-79.5045852
291602960,43.7720174,-79.4930134
291603680,43.778946,-79.4944202
291604257,43.7809416,-79.4942579
291605453,43.7673487,-79.4921108
291606236,43.7776644,-79.5108839
291607601,43.7718407,-79.5136774
291607602,43.772214,-79.5139598
291608072,43.7776709,-79.4947076
291608247,43.7815815,-79.4945869
365650453,43.7693524,-79.5058679
365650494,43.7698037,-79.5033932
365650499,43.7746476,-79.4969039
365650503,43.7744912,-79.4968241
365650540,43.7712236,-79.4968258
365665649,43.7764565,-79.5000824
365665657,43.7758841,-79.4998357
365665662,43.7763228,-79.4979185
365665665,43.7767584,-79.4987665
365665668,43.7761897,-79.498522
365665672,43.7759916,-79.4984351
365665762,43.7752649,-79.5039694
371845040,43.7664029,-79.5005794
371845047,43.7672434,-79.4967012
371845053,43.7658993,-79.4961327
371845060,43.7679828,-79.4970058
371845072,43.768266,-79.5016674
371845078,43.7694296,-79.4962567
371845087,43.7679929,-79.4955138
371845093,43.7676155,-79.4968536
371845097,43.768951,-79.4985247
371845103,43.7677587,-79.4980231
371845108,43.767538,-79.4990354
371845116,43.7654402,-79.4981654
371845120,43.7670093,-79.4977089
371845127,43.7656724,-79.4971561
371845135,43.7665657,-79.4997512
371845142,43.7652316,-79.4991849
371845149,43.768505,-79.5005483
371845155,43.7673143,-79.5000569
373130993,43.7651892,-79.4997318
373130997,43.7664537,-79.5002598
373131132,43.7650837,-79.5002928
373131134,43.7653343,-79.5003773
373131135,43.7655212,-79.5004545
373131137,43.7654512,-79.4998397
373131139,43.7652138,-79.500945
373131141,43.7650761,-79.5009332
373131145,43.7654625,-79.5009904
373131147,43.7656117,-79.5009305
373131200,43.7656405,-79.4999214
373131708,43.7655932,-79.5001262
373131710,43.7660074,-79.5000759
373131712,43.7659623,-79.5002888
373131718,43.7657666,-79.5002039
373132471,43.765854,-79.5008275
373133521,43.7657035,-79.499387
373133530,43.765919,-79.4983671
373133539,43.7661478,-79.4973545
373133771,43.766794,-79.4987287
373133772,43.7658115,-79.4988778
373133774,43.7666802,-79.4992387
373134342,43.765829,-79.4972249
373134344,43.7656063,-79.4982338
373134346,43.76538,-79.4992588
373134849,43.7660535,-79.4961968
373134851,43.7663694,-79.4963352
373135017,43.7668987,-79.4982313
373135021,43.7660354,-79.4978633
373135200,43.7671198,-79.4972197
373135205,43.766262,-79.4968401
373136261,43.7671607,-79.4988809
373137410,43.7687267,-79.4995454
373138739,43.767687,-79.500212
373138746,43.7679129,-79.4991977
373138911,43.767801,-79.499707
373138914,43.7686145,-79.5000443
373139433,43.7688423,-79.4990314
373139438,43.7680231,-79.4986944
373139445,43.7681311,-79.4981851
373139451,43.7683559,-79.4971686
373140450,43.7690625,-79.4980121
373140457,43.7682473,-79.497679
373140713,43.7693366,-79.4968465
373140717,43.768512,-79.4964922
373140722,43.7686386,-79.4959196
373141039,43.7695049,-79.4962222
373141811,43.7674167,-79.4957168
373142684,43.7672008,-79.5006062
373142689,43.7668213,-79.500462
373150584,43.7732655,-79.5095821
373150593,43.7738163,-79.5109141
373150855,43.7740605,-79.5098616
373152746,43.774236,-79.5087349
373152887,43.7742326,-79.5085143
373152891,43.7745551,-79.5072788
373152894,43.774083,-79.5070177
373153421,43.7730513,-79.5079785
373153423,43.7733997,-79.5064077
373153425,43.7732672,-79.5063736
373153426,43.773648,-79.5046477
373155053,43.7727799,-79.5063406
373155950,43.774335,-79.5052544
373156200,43.7738361,-79.5074611
373157999,43.7737432,-79.5044704
373158003,43.7741798,-79.5034986
373158844,43.7746281,-79.5036858
373159889,43.7764703,-79.5039741
373159891,43.7763526,-79.5044452
373159894,43.7763228,-79.5045714
373160318,43.7771373,-79.503447
383411590,43.7773572,-79.4961248
391899422,43.7760384,-79.5018791
391901439,43.7760366,-79.5005366
391903912,43.7682357,-79.5017966
414425398,43.7768062,-79.4944825
