u,v,length
123360265,1721792705,15.077636602303752
123360265,1721792728,7.185368326806154
123360265,123360260,31.257034308276072
211893012,11070281103,7.922570487559396
211893022,394499182,8.659008509565155
213274739,394500558,10.007486301033039
246692484,394500533,9.332337350521076
246693686,13230632133,8.282618426450634
246696320,13230632150,13.817937169298238
253433631,6901457342,11.894023532914288
253939672,2427129313,5.8397889034183414
260707894,700645346,8.257560921756056
260707895,700645347,8.415437572952573
266582321,7944724944,15.722235837438536
266582321,3597536027,23.00480132507359
266582321,29689667,26.42948045715231
266582324,29689667,28.423903256030705
266582324,266582326,65.9924442396792
266582324,13298409937,25.690997150291935
266582326,266582324,65.9924442396792
266582326,3597536027,42.03641708499722
266582326,394499193,125.00632466624342
280889412,394500539,7.825685659070121
281361637,1975854213,10.540495250276752
281361650,281361655,38.19073163186447
281361650,281361656,15.394387841421377
281361650,3936418358,2.404334619671956
281361654,281361657,45.515416812276754
281361654,1975854213,2.718806050274212
281361654,281361656,55.793720405689726
281361655,281361650,38.19073163186447
281361655,394506513,27.10557222906128
281361655,281361656,44.28778971211377
281361655,8253835710,25.987153188473833
281361656,13676172022,26.56686335216167
281361656,281361650,15.394387841421377
281361656,281361655,44.28778971211377
281361656,281361654,55.793720405689726
281361657,286054288,44.84457792427854
281361657,281361654,45.515416812276754
281361657,13676172022,20.884334582410652
281361740,538166033,8.227469032338371
281361741,11209519152,5.133035411355261
281361741,11070281103,150.3511109424428
281361741,394499182,30.54025005119873
281361979,8709768325,6.203389113905784
281660610,8709742855,17.367460513748195
281660610,3932115354,43.59634481861909
281660610,524141352,66.94369738513555
281662536,538166529,20.366111921578067
281670312,700645317,9.39153236508009
281671734,13375225839,38.6487901212541
281671734,13278904813,72.34647824658356
281671734,769507584,3.2769014260247196
281672004,391170480,12.081012728578312
286054288,1975716240,14.729390943839515
286054288,281361657,44.84457792427854
286054288,6567974557,23.89861861420945
286054308,1975716237,16.057365842544343
286054308,1975716236,22.07324740569947
286054309,6567974548,7.476208635986493
286054309,1975716237,18.419436201211575
286054434,1975854099,87.80039089372202
