u,v,length
258946523,10154908512,45.10935782090308
258946523,8364961880,320.0511718889853
258961735,4691453041,7.241291173461497
258961735,13717970271,33.69513896131949
258961735,1558352296,104.13616137819758
258961737,4691453042,6.989718994738458
258961737,1558352296,49.95929219796582
258961737,347941029,188.8709623920737
258961738,3157210941,24.417346167175992
258961738,9252034376,309.9447016410671
258961738,1605910182,17.19174465170667
258961739,9252034377,110.30316038878343
258961739,9252034316,9.898522140746985
260772564,9254437948,9.482191953418107
260774595,9254438151,104.258896002153
260774595,9254437989,8.94276955901093
260774595,9254437983,168.70483790172187
260890489,260890490,54.77267083550704
260890489,9254437989,105.85825656964285
260890489,1377209300,213.01406398405626
260890490,260890489,54.77267083550704
262422401,9264572547,10.299164839402305
262422401,9264572545,11.149541852708241
262422401,9264572544,8.87357909142082
262422401,9264572546,9.58362570032738
262422422,360055100,91.83647597265401
262422422,360055095,98.57902297978492
262422422,10154908439,88.87874310176626
262422423,1403686618,38.07549270907132
262422423,4259563233,5.749471675530892
262422423,1403686401,10.544329881810926
262422427,262422442,45.612297487533326
262422427,474865190,138.05003395926713
262422436,262422449,121.24586175179176
262422436,262422440,123.79569558971005
262422440,11425266766,27.80956805960922
262422440,262422436,123.79569558971005
262422440,2230633586,49.665857358057835
262422442,262422427,45.612297487533326
262422442,1397554330,147.61681058115738
262422449,2173552867,46.43616862572692
262422449,262422436,121.24586175179175
262422449,2173552868,31.635392347731553
277638563,9265653363,326.7834245821664
277638563,474865181,151.0955432793891
277638563,277638568,784.1854900870189
277638568,9265653322,12.15385943940907
277638568,9265653363,7.511090769115567
277638568,539301864,11.343815756652088
277638568,277638563,784.1854900870192
298896153,1581713690,35.62556222858926
305088403,305088412,122.34097466611094
305088403,305088480,100.54969116668744
305088403,305088416,153.87259220369336
305088403,3856002831,196.08404489581386
305088411,3856002831,10.579341723220095
305088411,1581713690,23.121367158603473
305088411,305088412,116.31020341529242
305088412,305088403,122.34097466611094
305088412,305088411,116.31020341529242
305088412,305088481,101.09152936385796
305088416,305088467,115.5672913725486
305088416,1551147348,158.05982298090015
305088416,305088403,153.87259220369336
305088448,1551147348,125.59771667986718
305088448,5998389389,97.46899486055108
305088448,1566262138,215.78826631289974
305088461,5998389381,4.53344788483294
305088461,5998389354,11.555321775260506
305088461,5998389355,10.094126074489159
305088463,5998389352,12.070835415355472
305088463,5999115586,9.436389536677355
305088463,5999115587,10.815077906431279
305088467,5998389373,7.86710067713158
305088467,305088416,115.5672913725486
305088467,5998389374,10.240709901286733
