u,v,length
416185254,4636499747,9.906289229571874
416185254,4636499744,32.3921487206171
416185254,4636499751,13.28975348918129
416186657,416279099,152.91649474692468
416186657,416283047,80.24853455127365
416186657,13542426674,53.20445502087156
416186657,416224071,96.85522304424894
416189992,8158474849,8.273414071363597
416190224,2464934611,22.649173662427
416190224,9966879045,16.48074491041185
416190224,2464934606,32.07300782678909
416190224,6065428510,24.39718383625415
416193506,6689775360,14.507612087645008
416193506,12377004303,30.14036585565136
416193506,6689558188,12.786678755786621
416194631,4902129813,12.371633140730816
416196642,7376979865,12.111430888910126
416196642,13046920562,7.054381493623112
416196642,416307105,51.562393697441195
416198444,3592929359,86.31506434135025
416198444,416300946,189.8974082330478
416198444,3592929333,11.467058233343032
416198444,4902129811,93.87784316526027
416201566,2187017670,4.908493923600694
416201566,2187017670,82.30104081303418
416201566,8162571411,67.08548757225319
416202003,1731202577,62.30260999349822
416202003,8164806702,17.726104408023545
416202003,8164806705,11.471350868185647
416203472,8144098360,10.734502357681174
416203472,8144073369,8.834935537838904
416203472,4628778822,45.9461070246036
416204077,9967858536,14.44960847149421
416204077,461631108,81.84148454091019
416204077,12377064714,49.14961915420861
416204136,416282380,61.12380534284716
416204811,2463937559,13.379223500337734
416204811,6866963617,79.30105211523883
416204811,9982680041,72.02858177931601
416205163,9967847085,2.329686187826657
416206814,416260659,59.23560206794245
416206814,4636499740,89.44195698201813
416206814,12372490005,24.467615467110882
416207231,12380347365,65.80308754736029
416207231,9982682875,74.81027351871963
416207231,2645858753,85.19623429473593
416209290,6783298787,48.49276458738912
416209290,416284463,97.41773041591078
416209290,12380285796,18.190587324773425
416210386,6689558170,57.34961065127175
416210386,12383164627,17.031145401617856
416210386,6689740366,11.540769068174813
416210610,8146312906,16.580024282002213
416210610,8144098368,12.866753799412281
416210610,8146312911,25.047968077318483
416210610,8146312931,10.358136410661537
416214185,8286904868,15.445337511810338
416214185,8286904864,15.025638993758918
416214185,461629148,105.61885632172435
416216955,8162571411,7.516726833986564
416216955,12184966318,322.79862410933737
416216955,8162571406,65.25278338359396
416219822,8162572131,164.6263644753082
416221031,416224102,114.8308695508605
416221031,12512896414,78.50238744028225
416221031,416279381,200.777704205117
