u,v,length
31103692,2627422489,259.92746816006934
31103771,3674040225,11.630117803962346
31103771,3674040226,6.143429126886006
31103771,3674040227,7.562089937562822
31103771,3674040228,10.883696128980365
31103773,3650925299,10.197052195289315
31103773,3650925296,10.441749033705152
31103773,3650925297,7.441743044671347
31103773,3650925298,6.541795121434777
31466186,9576549892,5.761627657160527
31466186,9491381705,80.52596027818905
31466266,9491381705,14.625059411355876
31466266,106190210,21.95396959623459
31466266,4405237819,29.341178415611477
31466321,9272835660,11.354300238879297
31466321,9272835639,10.709827734934732
31466321,9272835663,6.00168244464846
31466777,9217583486,10.409604364381503
31466777,9217583473,6.222847520218603
31466777,9217583477,5.930492363828489
31466777,9217583475,8.045723218810224
31466835,9272835659,10.503044786460247
31466835,9272835663,79.00974693288912
31466835,3674040227,79.94176385231552
31466973,9573985915,6.247825146116972
31466973,9573985913,5.923313815477398
31466973,9573985914,6.560115168159368
31466973,3674040225,86.41222005558235
31466974,3178247862,5.56420684538414
31466974,3785518082,73.0546423639117
31466974,9573985914,81.02561958427299
31466974,9573985910,4.107397289698555
31467110,2626629270,10.033473110145497
31467110,2626629281,9.108871545645785
31467110,1942218790,7.739428839870118
31467110,1942218784,8.904390435583307
31467110,3281005062,6.664110376301436
31467112,9217583483,10.111894588786663
31467112,9272810584,8.18338015997022
31467112,9217583477,77.89020413491484
31467112,36900261,46.970099277289705
31467312,9272867421,7.277209154890408
31467312,11590891656,42.05102682467373
31467312,11590891668,63.44533105623012
31467347,9272867422,9.106719511311725
31467347,2651471860,47.981652227887864
31467347,9272867439,25.493683304802694
31467372,9272835658,10.759554706025662
31467372,3650925298,145.15522359354495
31467372,3674040226,79.11296632011144
36182488,36182602,111.15946367549584
36182488,36182506,398.3372677463578
36182488,1940950031,53.102498916643285
36182506,36182488,398.3372677463578
36182506,2626629281,128.54073819903456
36182506,2626629515,151.11990294762447
36182602,36182488,111.15946367549584
36183084,9272867451,44.29396379959129
36183085,2626629270,83.75536679314749
36183085,9272867451,6.548450405359757
36183085,3650925299,137.2905981182913
36900076,36900154,34.2812521816935
36900154,36900076,34.2812521816935
36900154,9217583483,37.7229281734682
36900154,9217583481,82.87945983809
36900261,9217583481,10.480973695778118
36900261,31467112,46.970099277289705
36900261,3281005062,161.33124886154957
36901372,3857668570,7.142323986125961
36901372,2626629276,17.726303809677002
36901372,2626629273,18.39510583720148
36901372,2626629275,26.751499380315796
89186278,9271249603,11.593723386048993
89186278,9271249547,10.672838656486384
89186278,4040338197,41.43582465971126
89186279,9271249601,11.803399484608178
89186279,9271249545,10.973878957198293
89186279,9271249618,6.598703854073044
89186279,4040338197,43.17816955973676
89186280,9271249543,10.66284613461375
89186280,4040326807,28.293713108283548
89186280,4040326806,42.799826719087775
89186280,9271249599,11.918718610000031
89186282,9271249598,11.921095923814965
89186282,9271249540,10.633144562158183
89186282,4040326808,38.48134395740819
89186282,8972063369,16.25674314805301
89186283,89186832,11.400687041470096
89186283,3153682317,8.769126013305225
89186283,1685278634,10.731315611170208
89186283,4444815320,148.08412300568511
89186531,1685278635,22.104337971335784
89186531,3161459541,14.43910865537714
89186531,3161459539,8.451718948007095
89186531,3161459540,22.039065402808887
89186832,89186283,11.400687041470096
89186832,3153682319,11.26310101490484
89186832,1685278633,10.709191938301771
89186832,3153682318,8.42871075463337
89187052,9491381711,7.194362935823916
89187052,7841224683,42.62995440248726
89187052,7841224673,47.392466732893276
89187054,3198041742,8.608577649697962
89187054,3198041743,13.719325105376997
89187054,11925988773,71.01435854282963
89187054,1685278636,30.64202817170665
89187281,3785518078,7.473577690315952
89187281,3785518079,17.227439194763228
89187281,9491383461,14.6216255192444
89187281,89187282,88.77301579903873
89187282,89188323,42.23565876496689
89187282,9491383456,8.493048003154245
89187282,89187281,88.77301579903873
89187880,9573985912,6.555334568714397
89187880,4405237825,91.13575788242171
89187880,9272835639,90.59495791768437
89188022,9491383452,8.745280498685233
89188022,1685278638,37.55258564247637
89188022,3178247347,21.456370391687393
89188323,89187282,42.23565876496689
89188323,3178247347,20.91497297808592
89188323,1685278639,20.337337993655776
106188698,9491383463,131.67703515740956
106190207,3661084142,54.24690815626735
106190210,3661084014,12.424238125647133
106190210,31466266,21.95396959623459
106199227,9491383463,7.242101343482139
106199227,8045373946,27.922074782136626
106199227,11925988773,82.93620414509654
106302129,13643533186,7.264693821593563
106302129,7841309991,79.61417058077302
106318221,13643533184,6.2241598738660375
106318221,13643533186,71.0189603202913
106322469,11536143562,5.839570364222068
106322469,11536143563,8.019397465438074
106322469,11536143561,6.166279924871002
106322469,11536195457,5.304491732402471
106330800,11536143563,47.5504502652239
106330800,3153682317,33.48398826253544
106330800,3153682318,30.378020887941
130049084,9272810585,8.392639251932628
130049084,9217583489,10.262030590380347
130049084,9217583473,77.17715613296652
213866369,213911850,14.136388502858447
213866369,213911007,172.7510777748932
213866369,213914017,14.674875118413665
213866380,2627422489,5.725013010192271
213866380,213914017,102.90052261367791
213866380,1637393721,37.45855026758129
213866386,1637393721,14.494747252248679
213866386,1942218768,46.73748008423469
213866386,1942218768,51.098688510614124
213866839,331122966,125.1866233498685
213866839,213911007,120.13073527636642
213900689,2609994113,83.45728557170902
213904499,213910843,170.9372629439482
213904518,213904528,119.34876380785227
213904528,213904518,119.34876380785228
213904528,1838278071,43.843473679258835
213904528,213904533,44.13416535054503
213904533,1685278633,8.174416985187117
213904533,2651471708,11.309435034205768
213904533,213904528,44.13416535054504
213904533,4040326820,10.739496624327984
213905628,213911850,277.43015542327726
213910843,8990287398,22.229566926014144
213910843,213904499,170.93726294394824
213910843,213910899,251.21289396085882
213910899,213910843,251.21289396085882
213911007,2627422590,9.75417251457395
213911007,213866369,172.75107777489316
213911007,213866839,120.13073527636644
213911850,213866369,14.136388502858447
213911850,2627422638,21.20104253947054
213911850,213905628,277.4301554232772
213913992,2627422666,225.78641024006927
213914017,2627422638,13.908266040871384
213914017,213866380,102.90052261367791
213914017,213866369,14.674875118413665
213919417,2621710427,8.189922815658417
213919422,2586023023,21.327891894841343
213919423,2609994180,9.218440386182547
213919423,2586023023,21.181645736158686
213919423,2609994181,10.501856228921627
249637860,9272873075,119.62703983964248
249637860,9272873074,121.83388936422091
249637860,2609994180,60.519638340173344
249638043,4040326918,9.164733713548902
249638043,8972054213,10.307920224446177
249638043,4040326925,36.71952441206075
249638043,2651471839,45.0775813809843
249640167,1942218768,13.324014033908748
249640167,10896030728,8.872742739415555
249640167,2653475250,150.02806037828842
284056480,1685278634,148.97803604882353
284056480,10124229174,121.83932292629987
284056480,3161459542,54.086179961578836
331121883,331199534,83.55947346147381
331121883,11892335946,9.881915520392157
331121883,11017122065,11.375209904908177
331121883,331381227,87.74564785100432
331121884,331199534,83.92687058198726
331121884,11892335924,10.689092041042931
331121884,11892335907,10.352017037097548
331121884,4830896790,7.368334631331235
331121884,12499291951,9.795193951678446
331122966,213866839,125.18662334986848
331199534,331121884,83.92687058198726
331199534,331121883,83.55947346147381
331199534,11892335904,10.797225932953188
331199534,11892337591,9.963031763958062
331199572,2586023172,7.248545591165181
331199572,8268778285,10.771259968283251
331199572,1637393721,16.32456750663285
331199642,2626629352,26.074495973710434
331199642,2626629382,13.062490808066485
331199642,2626629472,74.2625686630924
331199689,2626629628,6.088485948848757
331199689,12530005900,16.363114178571173
331199689,9236629831,18.04090495121634
331199702,1940500286,73.24792476968894
331199702,2407447516,41.40341879831823
331199702,2602423615,22.36825409942028
331381227,11892335903,10.406011269389314
331381227,331121883,87.74564785100432
331584297,2626629272,17.361482903381074
331584297,2626629268,7.448290498518178
331584297,2626629275,9.0798002476178
404025318,4631140788,8.055444450963163
404025318,404025793,48.185226888206586
404025318,1620906561,40.19570429834708
404025321,404025820,31.697780568386513
404025321,4631140788,7.725168972929173
404025321,404025804,35.715282104415984
404025321,11895607163,20.064381211966015
404025324,2621710349,41.39804824009087
404025324,1942197488,13.39022246001523
404025324,404025824,28.727469716481096
404025324,1942197489,22.061985835962027
404025324,1942197484,28.335871523372035
404025324,2621710411,22.550840005102124
404025348,404025810,12.409270034700508
404025348,404025355,38.590442161304175
404025348,1942197485,23.860487996358568
404025348,1942197475,35.344011611288764
404025348,404025829,39.849204881608316
404025355,2621710340,6.536540888418111
404025355,404025348,38.59044216130418
404025355,1942197475,27.096454821826356
404025368,10160910240,7.469301276610633
404025368,404025375,81.92564064741313
404025368,2045814005,31.067684996870643
404025375,13714990021,8.084456407908988
404025375,404025368,81.92564064741315
404025375,2145287656,27.000173621663553
404025388,2626629546,7.28948151211776
404025388,2626629551,8.596076621910186
404025388,11964582139,39.56283444229015
404025408,13714990026,1.8246653209243862
404025408,11917781025,55.719041297467164
404025408,11889977275,42.00632237368304
404025784,2586023099,10.159242610542721
404025784,11892335563,44.42071515221442
404025784,12506513647,69.92659700453787
404025793,404025318,48.185226888206586
404025793,2586023099,8.40211500733302
404025793,1942197466,19.173948145309975
404025801,1942197473,48.98112272488832
404025801,1942197466,73.02481464772598
404025801,12506513650,6.712576031482569
404025804,404025812,26.590303677758243
404025804,404025816,17.666743085296375
404025804,404025321,35.715282104415984
404025810,12501959800,3.660334077919552
404025810,404025816,41.3094080461083
404025810,404025348,12.409270034700508
404025810,1942197482,24.407183577236356
404025812,404025804,26.590303677758243
