u,v,length
20964462,391183738,13.508654073352423
20964462,391076166,15.364101346756936
20964462,391183736,15.477623957695991
20964462,391076124,15.775366474639274
20979755,60052065,50.482450843264466
24959508,303455206,4.445583804825329
24959541,551186189,7.607584396281717
24959545,390545045,4.149032066473838
24959547,390548862,4.962582000644601
24959549,389677891,7.2325821146594
24959550,389678187,6.053452186874624
24959555,389678212,4.010446453839393
24959560,389677908,6.962674370499071
24959561,389677923,46.69167801962061
24959581,7311142097,9.348251939925309
24959583,7311150208,7.404082654862268
24960060,12777580034,12.509449699929487
24960063,4953810916,11.620079716578097
24960063,389678107,67.67273919616443
24960063,12695289114,38.21589075492467
24960063,7967019557,14.52024182265156
24960070,12804265932,12.852884483035602
24960070,12804265932,12.852884483035602
24960070,12777578271,9.205194808425938
24960070,12777578271,9.205194808425938
24960070,13076718820,5.401485725898233
24960072,12777565769,8.761137646044821
24960072,12777565769,8.761137646044821
24960072,12777565774,9.277342882776162
24960072,12777565774,9.277342882776162
24960073,1258707987,9.499362429612082
24960073,1258707987,9.499362429612082
24960073,50885164,19.358309672825026
24960073,50885164,19.358309672825026
24960074,12777578207,5.159455570805661
24960074,12777578207,5.159455570805661
24960074,12777565752,5.661209737232469
24960074,12777565752,5.661209737232469
24960075,12777565753,6.221166770867087
24960075,12777565753,6.221166770867087
24960075,12777578206,3.306917707247403
24960075,12777578206,3.306917707247403
24960077,12777565786,8.823887852919773
24960077,12777565786,8.823887852919773
24960077,12777578234,11.945187244175354
24960077,12777578234,11.945187244175354
24960078,3707407639,9.39263811569254
24960078,3707407639,9.39263811569254
24960078,60682901,9.054780091471647
24960078,60682901,9.054780091471647
24960081,3707407642,17.601309997073464
24960081,3707407642,17.601309997073464
24960081,12777579821,10.443517558665793
24960081,12777579821,10.443517558665793
24960082,249991437,7.395009411778719
24960082,249991437,7.395009411778719
24960082,12777579837,9.615365227818968
24960082,12777579837,9.615365227818968
24960083,2143488528,4.913834053718859
24960083,2143488528,4.913834053718859
24960083,12777579831,7.063214039693488
24960083,12777579831,7.063214039693488
24960083,2480712846,89.41820759462138
24960084,24960085,10.06308178224629
24960084,24960085,10.06308178224629
24960084,12777579860,10.402906760425052
24960084,12777579860,10.402906760425052
24960085,389678142,4.837481431807853
24960085,389678142,4.837481431807853
24960085,24960084,10.06308178224629
24960085,24960084,10.06308178224629
24960085,12777579858,24.50121311797357
25628745,579093053,21.672483843218142
25831235,3229176801,11.959544994714793
25831235,10815646138,23.049506313458057
25831235,10815626404,8.6984847414262
26007926,13329539749,10.07680454455011
26007929,415409792,8.610604249117
26007939,10284068052,5.754068347531375
26007943,9543509771,3.830889451637079
26007947,9543509772,61.33331217565346
26007947,9543509771,133.82054308992687
26007947,11210287608,44.17435064339207
26007947,389678171,70.84365944441092
26007949,13706212629,7.591849390653987
26007950,11211107367,5.011851895321231
26007950,13706212629,48.077488628152814
26007950,13706212619,49.46403000932872
26007950,13706212631,4.13371600941753
26007951,13706212619,5.046105189820869
26007956,11210195605,6.960861164004297
26007957,11211103625,7.864715109847859
26009130,6416829901,6.25805376305277
29603436,393552034,10.070749183187445
29604678,8961978489,5.246351212964217
29604679,8961978488,46.05631587845321
29604679,401526128,42.90621459653122
29604679,8961978489,195.22756584052425
29604720,1365965625,4.762880776189918
29604999,773495394,7.264860199932544
29605004,391169143,12.731247641318474
29658387,53556710,10.614626208963625
29690349,439548270,12.956330285683315
29690366,439548282,13.93719466183757
29690555,389677923,13.472870268665382
34936037,394502555,6.727990916806818
35537807,1298515666,7.124942054719372
36607342,50899680,23.09486969909971
36607360,391169143,11.935292521612114
42606787,391169146,9.430721633204955
42606791,391169146,9.890109059973131
42606808,1365965642,3.757294193997096
42606813,389678248,8.83747720286871
42606818,773497111,4.8608481830189385
50885147,55808451,16.828649792122828
50885147,12777578211,15.223587663126132
50885147,389677906,84.86392172589235
50885147,12777565780,18.91105680842201
50885164,24960073,19.358309672825026
50885164,24960073,19.358309672825026
50885164,12777565769,10.650849003196312
50885164,12777565769,10.650849003196312
50885169,2143434862,9.994302141153572
50885169,2143434862,9.994302141153572
50885169,12804265932,10.624675682285718
50885169,12804265932,10.624675682285718
50885169,12777578272,21.945243054785195
50885177,389677947,8.581537781294884
50897854,50897859,44.97003831551081
50897854,60654124,11.204818131696825
50897854,87475456,73.14043763034731
50897859,8544407510,8.385661562727774
50897859,50897854,44.97003831551081
50897859,8544407503,45.63702060218654
50897859,389678001,76.36264985417316
50897869,6336109110,21.340090114707095
50897869,390548862,202.07162920954644
50897869,6336109108,24.798426462933
50897869,304885460,56.57805451962049
50897874,6336109108,13.196001901309696
50897874,60654133,50.98074936445603
50897874,13850122934,67.36654344888845
